species,model_type,pred_type,auc,kappa,accuracy
Dungeness crab,Random forest,pDA,0.76,0.33,0.82
Dungeness crab,Boosted regression trees,pDA,0.75,0.32,0.81
Dungeness crab,Boosted regression trees,cDA,0.75,0.31,0.81
Dungeness crab,Random forest,cDA,0.75,0.33,0.82
Dungeness crab,Logistic regression,cDA,0.65,0,0.8
Dungeness crab,Logistic regression,pDA,0.63,-0.02,0.8
Rock crab,Boosted regression trees,pDA,0.73,0.24,0.76
Rock crab,Random forest,cDA,0.73,0.24,0.79
Rock crab,Random forest,pDA,0.73,0.24,0.79
Rock crab,Boosted regression trees,cDA,0.73,0.22,0.76
Rock crab,Logistic regression,pDA,0.55,-0.02,0.8
Rock crab,Logistic regression,cDA,0.52,0.17,0.81
Spiny lobster,Random forest,pDA,0.97,0.44,0.88
Spiny lobster,Boosted regression trees,cDA,0.97,0.44,0.88
Spiny lobster,Boosted regression trees,pDA,0.97,0.44,0.88
Spiny lobster,Random forest,cDA,0.96,0.44,0.88
Spiny lobster,Logistic regression,pDA,0.93,0.53,0.88
Spiny lobster,Logistic regression,cDA,0.92,0.53,0.88
Razor clam,Random forest,cDA,0.87,0.52,0.8
Razor clam,Boosted regression trees,pDA,0.86,0.5,0.8
Razor clam,Random forest,pDA,0.86,0.5,0.8
Razor clam,Boosted regression trees,cDA,0.86,0.55,0.83
Razor clam,Logistic regression,cDA,0.81,0.45,0.79
Razor clam,Logistic regression,pDA,0.78,0.4,0.78
Sea mussel,Logistic regression,cDA,0.72,-0.01,0.96
Sea mussel,Random forest,cDA,0.64,-0.01,0.96
Sea mussel,Random forest,pDA,0.64,0.16,0.97
Sea mussel,Boosted regression trees,pDA,0.62,-0.01,0.96
Sea mussel,Boosted regression trees,cDA,0.62,0.16,0.97
Sea mussel,Logistic regression,pDA,0.43,-0.02,0.95
Bay mussel,Logistic regression,pDA,0.59,0.26,0.95
Bay mussel,Random forest,pDA,0.58,0,0.97
Bay mussel,Logistic regression,cDA,0.53,-0.04,0.91
Bay mussel,Random forest,cDA,0.51,0,0.97
Bay mussel,Boosted regression trees,pDA,0.5,0,0.97
Bay mussel,Boosted regression trees,cDA,0.47,0,0.97
