Mapping parameters for Metacarcinus magister (Dungeness crab)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,61,23,-179,-110

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,41,166,360
Temperature (°C),1,6.8,9.15,13.96,16.32
Salinity (psu),1,26.98,30.27,33.29,36.9
Primary Production,1,648,739,2400,3104
Sea Ice Concentration,1,-1,0,0,0.08
Distance to Land (km),0,0,2,178,209
 

Map data (HSPEC) for predicted occurrences (n = 433): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Metacarcinus,magister,33.25,-119.25,7311:239:1,0.15
Metacarcinus,magister,33.25,-119.75,7311:239:2,0.15
Metacarcinus,magister,33.75,-119.25,7311:239:3,0.15
Metacarcinus,magister,33.75,-119.75,7311:239:4,0.15
Metacarcinus,magister,34.25,-118.25,7311:248:1,0.04
Metacarcinus,magister,34.25,-118.75,7311:248:2,0.10
Metacarcinus,magister,46.25,-123.25,7412:363:1,0.02
Metacarcinus,magister,47.25,-122.75,7412:372:2,0.05
Metacarcinus,magister,47.25,-123.25,7412:373:1,0.02
Metacarcinus,magister,47.75,-123.25,7412:373:3,0.02
Metacarcinus,magister,49.75,-123.25,7412:393:3,0.02
Metacarcinus,magister,49.25,-125.25,7412:495:1,0.05
Metacarcinus,magister,49.75,-126.25,7412:496:3,0.02
Metacarcinus,magister,50.25,-123.75,7512:103:2,0.02
