"comm_name","species","n_samples"
"Sea mussel","Mytilus californianus",1454
"Pacific oyster","Crassostrea gigas",759
"Razor clam","Siliqua patula",614
"Bay mussel","Mytilus galloprovincialis",504
"Pismo clam","Tivela stultorum",22
"Gaper clam","Tresus nuttallii",8
"Washington clam","Saxidomus spp.",4
"Kumamoto oyster","Crassostrea sikamea",2
"Basket cockle","Clinocardium nuttallii",1
"Butter clam","Saxidomus giganteus",1
"Littleneck clam","Leukoma staminea",1
"Manila clam","Venerupis philippinarum",1
