port,lat_dd,long_dd
Bodega Bay,38.324444,-123.038611
Eureka,40.801944,-124.163611
Fort Bragg,39.445833,-123.805278
Los Angeles,34.05,-118.25
Monterey,36.603056,-121.893611
Morro Bay,35.365833,-120.85
San Diego,32.715,-117.1625
San Francisco,37.783333,-122.416667
Santa Barbara,34.416667,-119.7
Crescent City,41.755833,-124.201667
