"method","accuracy","kappa","auc"
"Random forests",0.840677966101695,0.430150836381571,0.797242747673782
"Boosted regression trees",0.830508474576271,0.3627959218939,0.780480295566502
"Logistic regression",0.796610169491525,0.148301414685786,0.636323207443897
