"year","season","week","date","fishing_c","fishing_n"
2016,"2016-17",45,2017-08-02,FALSE,FALSE
2016,"2016-17",46,2017-08-09,FALSE,FALSE
2016,"2016-17",47,2017-08-16,FALSE,FALSE
2016,"2016-17",48,2017-08-23,FALSE,FALSE
2016,"2016-17",49,2017-08-30,FALSE,FALSE
2016,"2016-17",50,2017-09-06,FALSE,FALSE
2016,"2016-17",51,2017-09-13,FALSE,FALSE
2016,"2016-17",52,2017-09-20,FALSE,FALSE
2017,"2017-18",1,2017-09-27,FALSE,FALSE
2017,"2017-18",2,2017-10-04,FALSE,FALSE
2017,"2017-18",3,2017-10-11,FALSE,FALSE
2017,"2017-18",4,2017-10-18,FALSE,FALSE
2017,"2017-18",5,2017-10-25,FALSE,FALSE
2017,"2017-18",6,2017-11-01,FALSE,FALSE
2017,"2017-18",7,2017-11-08,FALSE,FALSE
2017,"2017-18",8,2017-11-15,TRUE,FALSE
2017,"2017-18",9,2017-11-22,TRUE,FALSE
2017,"2017-18",10,2017-11-29,TRUE,TRUE
2017,"2017-18",11,2017-12-06,TRUE,TRUE
2017,"2017-18",12,2017-12-13,TRUE,TRUE
2017,"2017-18",13,2017-12-20,TRUE,TRUE
2017,"2017-18",14,2017-12-27,TRUE,TRUE
2017,"2017-18",15,2018-01-03,TRUE,TRUE
2017,"2017-18",16,2018-01-10,TRUE,TRUE
2017,"2017-18",17,2018-01-17,TRUE,TRUE
2017,"2017-18",18,2018-01-24,TRUE,TRUE
2017,"2017-18",19,2018-01-31,TRUE,TRUE
2017,"2017-18",20,2018-02-07,TRUE,TRUE
2017,"2017-18",21,2018-02-14,TRUE,TRUE
2017,"2017-18",22,2018-02-21,TRUE,TRUE
2017,"2017-18",23,2018-02-28,TRUE,TRUE
2017,"2017-18",24,2018-03-07,TRUE,TRUE
2017,"2017-18",25,2018-03-14,TRUE,TRUE
2017,"2017-18",26,2018-03-21,TRUE,TRUE
2017,"2017-18",27,2018-03-28,TRUE,TRUE
2017,"2017-18",28,2018-04-04,TRUE,TRUE
2017,"2017-18",29,2018-04-11,TRUE,TRUE
2017,"2017-18",30,2018-04-18,TRUE,TRUE
2017,"2017-18",31,2018-04-25,TRUE,TRUE
2017,"2017-18",32,2018-05-02,TRUE,TRUE
2017,"2017-18",33,2018-05-09,TRUE,TRUE
2017,"2017-18",34,2018-05-16,TRUE,TRUE
2017,"2017-18",35,2018-05-23,TRUE,TRUE
2017,"2017-18",36,2018-05-30,TRUE,TRUE
2017,"2017-18",37,2018-06-06,TRUE,TRUE
2017,"2017-18",38,2018-06-13,TRUE,TRUE
2017,"2017-18",39,2018-06-20,TRUE,TRUE
2017,"2017-18",40,2018-06-27,TRUE,TRUE
2017,"2017-18",41,2018-07-04,FALSE,TRUE
2017,"2017-18",42,2018-07-11,FALSE,TRUE
2017,"2017-18",43,2018-07-18,FALSE,FALSE
2017,"2017-18",44,2018-07-25,FALSE,FALSE
2017,"2017-18",45,2018-08-01,FALSE,FALSE
2017,"2017-18",46,2018-08-08,FALSE,FALSE
2017,"2017-18",47,2018-08-15,FALSE,FALSE
2017,"2017-18",48,2018-08-22,FALSE,FALSE
2017,"2017-18",49,2018-08-29,FALSE,FALSE
2017,"2017-18",50,2018-09-05,FALSE,FALSE
2017,"2017-18",51,2018-09-12,FALSE,FALSE
2017,"2017-18",52,2018-09-19,FALSE,FALSE
2018,"2018-19",1,2018-09-26,FALSE,FALSE
2018,"2018-19",2,2018-10-03,FALSE,FALSE
2018,"2018-19",3,2018-10-10,FALSE,FALSE
2018,"2018-19",4,2018-10-17,FALSE,FALSE
2018,"2018-19",5,2018-10-24,FALSE,FALSE
2018,"2018-19",6,2018-10-31,FALSE,FALSE
2018,"2018-19",7,2018-11-07,FALSE,FALSE
