"sex","age_yr_int","cw_mm","weight_g"
"Female",1,14.292896,0.388573246686936
"Female",2,103.985148187511,182.478309296374
"Female",3,139.535552692373,454.070502757198
"Female",4,167.568610862254,800.935321980777
"Female",5,179.276926445682,987.474309037358
"Female",6,189.673910683765,1176.04442435361
"Female",7,189.673910683765,1176.04442435361
"Female",8,198.906432687184,1362.73540773874
"Female",9,207.104912226219,1544.50888607964
"Female",10,207.104912226219,1544.50888607964
"Male",1,14.28542976,0.387944351783543
"Male",2,107.699132674248,203.450147881133
"Male",3,162.767495969507,731.913886278783
"Male",4,191.047310896958,1202.64389782977
"Male",5,219.836162493104,1858.26431960274
"Male",6,219.836162493104,1858.26431960274
"Male",7,219.836162493104,1858.26431960274
"Male",8,249.143213417979,2739.00145398855
"Male",9,249.143213417979,2739.00145398855
"Male",10,249.143213417979,2739.00145398855
