Season,Start,End
2005-2006,10/1/05,9/30/06
2006-2007,10/1/06,9/30/07
2007-2008,10/1/07,9/30/08
2008-2009,10/1/08,9/30/09
2009-2010,10/1/09,9/30/10
2010-2011,10/1/10,9/30/11
2011-2012,10/1/11,9/30/12
2012-2013,10/1/12,9/30/13
2013-2014,10/1/13,9/30/14
2014-2015,10/1/14,9/30/15
2015-2016,10/1/15,9/30/16
2016-2017,10/1/16,9/30/17
2017-2018,10/1/17,9/30/18
2018-2019,10/1/18,9/30/19
