county,location,date,agency,type,da_ppm
Del Norte,Crescent Beach,8/12/18,Volunteer,Meat,15
Del Norte,Crescent Beach,3/19/19,Volunteer,Meat,72
Del Norte,Crescent Beach,3/19/19,Volunteer,Meat,94
Del Norte,Crescent Beach,3/19/19,Volunteer,Meat,130
Del Norte,Crescent Beach,3/19/19,Volunteer,Meat,150
Del Norte,Crescent Beach,3/19/19,Volunteer,Meat,260
Del Norte,Crescent Beach,3/19/19,Volunteer,Meat,280
Del Norte,Crescent Beach,3/19/19,Volunteer,Meat,260
Del Norte,Crescent Beach,3/19/19,Volunteer,Meat,68
Del Norte,Crescent Beach,4/20/19,Volunteer,Meat,31
Del Norte,Crescent Beach,4/20/19,Volunteer,Meat,74
Del Norte,Crescent Beach,4/20/19,Volunteer,Meat,150
Del Norte,Crescent Beach,4/20/19,Volunteer,Meat,48
Del Norte,Crescent Beach,4/20/19,Volunteer,Meat,7.2
Del Norte,Crescent Beach,4/20/19,Volunteer,Meat,240
Del Norte,Crescent Beach,5/6/19,Volunteer,Meat,75
Del Norte,Crescent Beach,5/6/19,Volunteer,Meat,140
Del Norte,Crescent Beach,5/6/19,Volunteer,Meat,130
Del Norte,Crescent Beach,5/6/19,Volunteer,Meat,40
Del Norte,Crescent Beach,5/6/19,Volunteer,Meat,18
Del Norte,Crescent Beach,5/6/19,Volunteer,Meat,72
Del Norte,Crescent Beach,5/6/19,Volunteer,Meat,220
Del Norte,Crescent Beach,5/6/19,Volunteer,Meat,72
Del Norte,Crescent Beach,5/20/19,Volunteer,Meat,67
Del Norte,Crescent Beach,5/20/19,Volunteer,Meat,81
Del Norte,Crescent Beach,5/20/19,Volunteer,Meat,58
Del Norte,Crescent Beach,5/20/19,Volunteer,Meat,30
Del Norte,Crescent Beach,5/20/19,Volunteer,Meat,83
Del Norte,Crescent Beach,5/20/19,Volunteer,Meat,43
Del Norte,Crescent Beach,5/20/19,Volunteer,Meat,78
Del Norte,Crescent Beach,5/20/19,Volunteer,Meat,65
Humboldt,Clam Beach,2/10/17,CA Dept of Fish & Wildlife,Meat,4.2
Humboldt,Clam Beach,2/10/17,CA Dept of Fish & Wildlife,Meat,35
Humboldt,Clam Beach,2/10/17,CA Dept of Fish & Wildlife,Meat,39
Humboldt,Clam Beach,2/10/17,CA Dept of Fish & Wildlife,Meat,10
Humboldt,Clam Beach,2/10/17,CA Dept of Fish & Wildlife,Meat,18
Humboldt,Clam Beach,2/10/17,CA Dept of Fish & Wildlife,Viscera,15
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,30
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,8.5
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,18
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,49
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,55
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,41
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,45
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,82
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,25
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,7.8
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,42
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,47
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,51
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Meat,42
Humboldt,Clam Beach,3/9/17,CA Dept of Fish & Wildlife,Viscera,36
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,19
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,4.2
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,32
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,21
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,35
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,16
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,35
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,44
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,55
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,44
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,29
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,30
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Meat,56
Humboldt,Clam Beach,4/27/17,CA Dept of Fish & Wildlife,Viscera,25
Humboldt,Little River State Beach,4/28/17,CA Dept of Fish & Wildlife,Meat,30
Humboldt,Little River State Beach,4/28/17,CA Dept of Fish & Wildlife,Viscera,26
Humboldt,Little River State Beach,4/28/17,CA Dept of Fish & Wildlife,Meat,16
Humboldt,Little River State Beach,4/28/17,CA Dept of Fish & Wildlife,Viscera,11
Humboldt,Little River State Beach,4/28/17,CA Dept of Fish & Wildlife,Meat,50
Humboldt,Little River State Beach,4/28/17,CA Dept of Fish & Wildlife,Viscera,38
Humboldt,Clam Beach,5/29/17,CA Dept of Fish & Wildlife,Meat,6.2
Humboldt,Clam Beach,5/29/17,CA Dept of Fish & Wildlife,Meat,48
Humboldt,Clam Beach,5/29/17,CA Dept of Fish & Wildlife,Meat,12
Humboldt,Clam Beach,5/29/17,CA Dept of Fish & Wildlife,Meat,8.5
Humboldt,Clam Beach,5/29/17,CA Dept of Fish & Wildlife,Meat,7.6
Humboldt,Clam Beach,5/29/17,CA Dept of Fish & Wildlife,Meat,6.4
Humboldt,Clam Beach,5/29/17,CA Dept of Fish & Wildlife,Meat,10
Humboldt,Clam Beach,5/29/17,CA Dept of Fish & Wildlife,Meat,6.6
Humboldt,Clam Beach,5/29/17,CA Dept of Fish & Wildlife,Meat,15
Humboldt,Clam Beach,5/29/17,CA Dept of Fish & Wildlife,Meat,85
Humboldt,Clam Beach,5/29/17,CA Dept of Fish & Wildlife,Viscera,14
Humboldt,Little River State Beach,6/13/17,CA Dept of Fish & Wildlife,Meat,85
Humboldt,Little River State Beach,6/13/17,CA Dept of Fish & Wildlife,Meat,9
Humboldt,Little River State Beach,6/13/17,CA Dept of Fish & Wildlife,Meat,11
Humboldt,Little River State Beach,6/13/17,CA Dept of Fish & Wildlife,Meat,12
Humboldt,Little River State Beach,6/13/17,CA Dept of Fish & Wildlife,Meat,24
Humboldt,Little River State Beach,6/13/17,CA Dept of Fish & Wildlife,Meat,10
Humboldt,Little River State Beach,6/13/17,CA Dept of Fish & Wildlife,Meat,38
Humboldt,Little River State Beach,6/13/17,CA Dept of Fish & Wildlife,Meat,9.4
Humboldt,Little River State Beach,6/13/17,CA Dept of Fish & Wildlife,Meat,67
Humboldt,Little River State Beach,6/13/17,CA Dept of Fish & Wildlife,Viscera,29
Humboldt,Clam Beach,6/27/17,CA Dept of Fish & Wildlife,Meat,68
Humboldt,Clam Beach,6/27/17,CA Dept of Fish & Wildlife,Meat,78
Humboldt,Clam Beach,6/27/17,CA Dept of Fish & Wildlife,Meat,120
Humboldt,Clam Beach,6/27/17,CA Dept of Fish & Wildlife,Meat,90
Humboldt,Clam Beach,6/27/17,CA Dept of Fish & Wildlife,Meat,57
Humboldt,Clam Beach,6/27/17,CA Dept of Fish & Wildlife,Meat,16
Humboldt,Clam Beach,6/27/17,CA Dept of Fish & Wildlife,Meat,41
Humboldt,Clam Beach,6/27/17,CA Dept of Fish & Wildlife,Meat,52
Humboldt,Clam Beach,6/27/17,CA Dept of Fish & Wildlife,Meat,29
Humboldt,Clam Beach,6/27/17,CA Dept of Fish & Wildlife,Meat,36
Humboldt,Clam Beach,6/27/17,CA Dept of Fish & Wildlife,Viscera,39
Humboldt,Clam Beach,7/23/17,CA Dept of Fish & Wildlife,Meat,27
Humboldt,Clam Beach,7/23/17,CA Dept of Fish & Wildlife,Meat,19
Humboldt,Clam Beach,7/23/17,CA Dept of Fish & Wildlife,Meat,11
Humboldt,Clam Beach,7/23/17,CA Dept of Fish & Wildlife,Meat,15
Humboldt,Clam Beach,7/23/17,CA Dept of Fish & Wildlife,Meat,27
Humboldt,Clam Beach,7/23/17,CA Dept of Fish & Wildlife,Meat,18
Humboldt,Clam Beach,7/23/17,CA Dept of Fish & Wildlife,Meat,16
Humboldt,Clam Beach,7/23/17,CA Dept of Fish & Wildlife,Meat,11
Humboldt,Clam Beach,7/23/17,CA Dept of Fish & Wildlife,Meat,17
Humboldt,Clam Beach,7/23/17,CA Dept of Fish & Wildlife,Meat,9.3
Humboldt,Clam Beach,7/23/17,CA Dept of Fish & Wildlife,Viscera,15
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,53
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,150
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,37
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,220
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,110
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,140
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,68
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,85
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,300
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,140
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,150
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,130
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,220
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,140
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Meat,65
Humboldt,Clam Beach,11/3/17,CA Dept of Fish & Wildlife,Viscera,130
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,130
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,88
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,78
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,300
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,130
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,250
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,130
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,130
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,85
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,220
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,390
Humboldt,Clam Beach,12/6/17,CA Dept of Fish & Wildlife,Meat,150
Humboldt,Clam Beach,1/2/18,CA Dept of Fish & Wildlife,Meat,70
Humboldt,Clam Beach,1/2/18,CA Dept of Fish & Wildlife,Meat,190
Humboldt,Clam Beach,1/2/18,CA Dept of Fish & Wildlife,Meat,210
Humboldt,Clam Beach,1/2/18,CA Dept of Fish & Wildlife,Meat,97
Humboldt,Clam Beach,1/2/18,CA Dept of Fish & Wildlife,Meat,110
Humboldt,Clam Beach,1/2/18,CA Dept of Fish & Wildlife,Meat,170
Humboldt,Clam Beach,1/2/18,CA Dept of Fish & Wildlife,Meat,160
Humboldt,Clam Beach,3/29/18,CA Dept of Fish & Wildlife,Meat,78
Humboldt,Clam Beach,3/29/18,CA Dept of Fish & Wildlife,Meat,230
Humboldt,Clam Beach,3/29/18,CA Dept of Fish & Wildlife,Meat,39
Humboldt,Clam Beach,3/29/18,CA Dept of Fish & Wildlife,Meat,120
Humboldt,Clam Beach,3/29/18,CA Dept of Fish & Wildlife,Meat,53
Humboldt,Clam Beach,3/29/18,CA Dept of Fish & Wildlife,Meat,210
Humboldt,Clam Beach,3/29/18,CA Dept of Fish & Wildlife,Meat,25
Humboldt,Clam Beach,3/29/18,CA Dept of Fish & Wildlife,Meat,53
Humboldt,Clam Beach,3/29/18,CA Dept of Fish & Wildlife,Meat,110
Humboldt,Clam Beach,3/29/18,CA Dept of Fish & Wildlife,Meat,76
Humboldt,Clam Beach,3/29/18,CA Dept of Fish & Wildlife,Meat,67
Humboldt,Clam Beach,5/3/18,CA Dept of Fish & Wildlife,Meat,160
Humboldt,Clam Beach,5/3/18,CA Dept of Fish & Wildlife,Meat,17
Humboldt,Clam Beach,5/3/18,CA Dept of Fish & Wildlife,Meat,42
Humboldt,Clam Beach,5/3/18,CA Dept of Fish & Wildlife,Meat,4
Humboldt,Clam Beach,5/16/18,CA Dept of Fish & Wildlife,Meat,15
