"sampleid","county","location","long_dd","lat_dd","year","date","type_orig","comm_name","species","type","tissue","da_ppm","da_ppm_prefix"
"M14P01066","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-10-06,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01067","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-10-06,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01068","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-10-06,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01095","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-10-13,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01097","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-10-13,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01098","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-10-13,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01122","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-10-20,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01123","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-10-20,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01124","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-10-20,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01147","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-10-27,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01149","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-10-27,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01151","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-10-27,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
