"sampleid","county","location","long_dd","lat_dd","year","date","type_orig","comm_name","species","type","tissue","da_ppm","da_ppm_prefix"
"M15P00489","Santa Barbara","Santa Barbara Ch., Plt. A",-120.70217,34.495,2015,2015-06-11,"Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","wild","viscera",5.3,NA
"M15P00563","Santa Barbara","Santa Barbara Ch., Plt. A",-120.70217,34.495,2015,2015-07-08,"Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","wild","viscera",2.5,"<"
"M15P00707","Santa Barbara","Santa Barbara Ch., Plt. B",-119.62167,34.33217,2015,2015-08-25,"Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","wild","viscera",2.5,"<"
"M16P00209","Humboldt","Trinidad Bay",-124.142252,41.053113,2016,2016-04-02,"Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","wild","viscera",2.5,"<"
"M16P00293","Santa Barbara","Santa Barbara Ch., Plt. B",-119.62167,34.33217,2016,2016-04-29,"Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","wild","viscera",2.5,"<"
"F16E00839M","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2016,2016-07-20,"Cultured Rock Scallop,adductor","Rock scallop","Crassadoma gigantea","cultured","adductor",2.5,"<"
"F16E00839V","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2016,2016-07-20,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",3.3,NA
"F16E00847","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2016,2016-08-08,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",2.5,"<"
"F16E00861","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2016,2016-08-29,"Cultured Rock Scallop,adductor","Rock scallop","Crassadoma gigantea","cultured","adductor",2.5,"<"
"M16P00608","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2016,2016-08-29,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",3.2,NA
"F16E00888","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2016,2016-09-13,"Cultured Rock Scallop,adductor","Rock scallop","Crassadoma gigantea","cultured","adductor",2.5,"<"
"M16P00650","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2016,2016-09-13,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",2.5,"<"
"M17P00036","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2017,2017-01-11,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",2.5,"<"
"M17P00427","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2017,2017-05-30,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",2.5,"<"
"M17P00448","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2017,2017-06-06,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",2.5,"<"
"M17P00528","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2017,2017-06-22,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",2.5,"<"
"M17P00529","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2017,2017-06-29,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",2.5,"<"
"M17P00557","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2017,2017-07-18,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",2.5,"<"
"M18P00508","Monterey","Monterey Bay, Commercial Wharf",-121.889411,36.605724,2018,2018-06-18,"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","cultured","viscera",2.5,"<"
