"region","year","crabs_mt","crabs_mt_lo","crabs_mt_hi"
"Northern CA",1991,5189.06178046247,4989.63704690255,5400.0251479994
"Northern CA",1992,4504.03572829435,4255.67049073369,4786.68581833357
"Northern CA",1993,4801.82602002694,4543.14600888664,5085.55610066849
"Northern CA",1994,2506.88687616443,2291.12071226156,2778.85222966461
"Northern CA",1995,4831.81557067906,4645.41089118819,5021.60785218097
"Northern CA",1996,7318.93926085564,6998.83965074758,7658.52811906767
"Northern CA",1997,1090.75390515504,913.364518142273,1289.61401443157
"Northern CA",1998,3740.66294139302,3583.36373406232,3907.98955976109
"Northern CA",1999,4201.07086906052,4040.07219082531,4362.29877998512
"Northern CA",2000,3721.86420074998,3571.53700177058,3864.78288808091
"Northern CA",2001,1888.87369258917,1760.2359013588,2019.52102797243
"Northern CA",2002,996.228981913376,853.973368855549,1165.59767689124
"Northern CA",2003,5012.91631435387,4829.05011498052,5191.54179257316
"Northern CA",2004,8622.92958663675,8372.30627664866,8855.79011092271
"Northern CA",2005,10200.994873129,9983.07412279151,10450.3083903917
"Northern CA",2006,9837.85468104076,9594.90633279957,10100.6413714244
"Northern CA",2007,3847.18203213907,3660.44539889455,4029.36240596085
"Northern CA",2008,2534.35170834789,2365.78126826341,2712.69307522069
"Northern CA",2009,2497.15922645168,2337.94924755486,2668.21920894777
"Northern CA",2010,6588.94246763361,6453.1056280106,6723.69808256167
"Northern CA",2011,4018.37249670778,3854.02918188673,4172.69602457882
"Northern CA",2012,8472.81440237006,8256.70587955296,8693.94357085801
"Northern CA",2013,8158.66072769092,7962.99978403833,8356.19615775816
"Northern CA",2014,3362.03487230659,3154.63426917462,3577.49721149359
"Northern CA",2015,1802.08202697215,1633.11404639455,2011.02373697511
"Northern CA",2016,1713.29349638693,1509.91593559835,1945.83166315982
