"region","year","crabs_mt","crabs_mt_lo","crabs_mt_hi"
"Central CA",1970,866.826941461764,608.296527227936,1255.18211852045
"Central CA",1971,690.420306197789,332.087674721455,1295.24420940728
"Central CA",1972,504.185541308163,135.011028231555,1207.65270693068
"Central CA",1973,429.356893695561,121.281606887295,1025.1996173691
"Central CA",1974,596.602400514587,218.986957457162,1251.22793349319
"Central CA",1975,457.917412202806,142.552563506944,994.418023259297
"Central CA",1976,664.689897381437,209.611825564506,1494.85068171678
"Central CA",1977,593.845429436288,270.801719160282,1178.38436925089
"Central CA",1978,436.113410953959,294.674703434645,645.556082307523
"Central CA",1979,629.542392219625,354.330540256542,1035.26825574161
"Central CA",1980,476.68084349033,282.213249674862,780.867521512557
"Central CA",1981,586.310336528412,136.254126709665,1389.19788073018
"Central CA",1982,372.535254151702,89.9974172200632,918.387776255913
"Central CA",1983,439.160604424605,179.628163342159,865.217780230748
"Central CA",1984,636.359220657888,320.403880220851,1037.26091538294
"Central CA",1985,491.874950871172,225.359962977786,901.0689820285
"Central CA",1986,351.848742871099,115.894083255269,796.05217995751
"Central CA",1987,892.551460699746,688.736459843789,1116.56998002631
"Central CA",1988,1863.64930615386,1624.17847020857,2142.11141191867
"Central CA",1989,906.306188157864,715.424945361542,1147.77474388306
"Central CA",1990,584.972589795835,330.107999198275,960.192935784978
"Central CA",1991,888.691144982438,587.288509386271,1290.75468189004
"Central CA",1992,790.297195767151,466.021448187975,1188.578800877
"Central CA",1993,447.289840002202,146.316097814773,957.112449315409
"Central CA",1994,705.085814671147,384.716624531904,1154.36797077722
"Central CA",1995,1832.3841758612,1591.07393432886,2090.25695671126
"Central CA",1996,1228.7310293709,1019.22674961897,1467.52098158162
"Central CA",1997,965.047653242368,791.597412647062,1171.69346272039
"Central CA",1998,1987.00823830085,1815.91419531497,2164.04377027566
"Central CA",1999,655.452046763237,528.790018747444,813.309355902943
"Central CA",2000,556.401945637223,341.237296208453,898.714899254819
"Central CA",2001,1358.38400448316,898.945308045188,2000.09100717995
"Central CA",2002,870.6824148867,699.070831086416,1097.56793979914
"Central CA",2003,2224.09380824643,2103.87116334419,2350.0819859255
"Central CA",2004,2730.28612786086,2579.2065469867,2879.11706738576
"Central CA",2005,3123.52126573556,2978.49561128979,3295.92517631459
"Central CA",2006,3117.84247777484,2960.9853728559,3275.61210329371
"Central CA",2007,3060.52900284188,2858.19054059914,3292.81600936265
"Central CA",2008,3684.56574851909,2955.11960699251,4612.51774135554
"Central CA",2009,1018.60066079343,569.158969827399,1775.54838723266
"Central CA",2010,1978.16917107804,1708.01114168703,2253.02327000645
"Central CA",2011,10178.9377324259,10008.3378563014,10345.7079046246
"Central CA",2012,8290.30918658192,8108.87332068776,8472.85851771043
"Central CA",2013,4209.55084489828,3981.13636869463,4466.6884178399
"Central CA",2014,5999.77604369223,5682.34639616287,6316.76820911669
"Central CA",2015,6075.94431718267,5930.11109633081,6234.87719881777
"Central CA",2016,4846.7098814461,4583.39238140144,5120.03933337478
"Northern CA",1970,8832.26263992864,8197.57339404967,9435.16497623038
"Northern CA",1971,4485.09796396154,4098.45821786023,4879.91774200532
"Northern CA",1972,1214.19637918016,521.358562671455,2927.68952814478
"Northern CA",1973,1192.6821359729,550.178849752444,2671.93459451776
"Northern CA",1974,1382.27036846717,308.585102935913,3867.10413921743
"Northern CA",1975,1176.95415502508,705.291787627366,2033.89816506514
"Northern CA",1976,13774.3826816509,12167.78779902,15461.6739686949
"Northern CA",1977,NA,NA,NA
"Northern CA",1978,6945.76754865554,6521.85600887048,7369.81829704638
"Northern CA",1979,4373.96299898943,4026.87433672968,4740.13138693072
"Northern CA",1980,7178.81650371618,6762.9885202372,7605.36981204594
"Northern CA",1981,7922.45412733646,6917.77454224342,9145.02408430882
"Northern CA",1982,5138.67938106262,4846.67799332389,5431.06096235477
"Northern CA",1983,2222.16997266326,2046.00060255649,2394.18721616982
"Northern CA",1984,2244.61449965642,2027.37418055385,2469.28658759134
"Northern CA",1985,2168.12068006046,1973.69439779736,2386.81215923816
"Northern CA",1986,2601.23932296259,2412.40564082781,2803.52072317848
"Northern CA",1987,3217.07386611386,3057.3994213274,3378.97046191922
"Northern CA",1988,3070.72753609678,2771.86190414237,3416.34592714051
"Northern CA",1989,3887.9603722946,3661.20652711489,4123.56330274424
"Northern CA",1990,1872.24192009816,1654.94565797754,2116.89848336398
